model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
RW;12;0;0;-551.1089410484514;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1561.5004129350382;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-844.9029610877196;2;720;0.0;3.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-498.4173809829881;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1076.6495533712705;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1099.324725899883;2;711;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-489.7612107376542;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1379.6155119579591;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1211.810997780928;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-489.7612107376542;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-1724.1924363013795;2;715;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1193.3591483603134;2;717;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1635.8381512198505;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1144.1676812848748;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1281.0603597436002;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-489.7612107376542;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1644.4943214651844;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-882.876528458238;2;720;0.0;4.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-443.63064101931246;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1094.1418349561372;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1169.3643384438765;2;711;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-433.8924494933115;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1434.9785383661635;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1295.0585338265862;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-433.8924494933115;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-1823.440695701021;2;715;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1274.5844900562165;2;717;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1723.229007535783;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1170.0997288589438;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1372.9640660345908;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-433.8924494933115;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1732.9671990617842;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-925.0072558385626;2;720;0.0;4.5;0.3;-1;-1;-1;-1;-1;-1;-1
