model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
CK;11;582;2;-5878.486373637181;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-1.8926919414810375;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-6737.835837852107;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-3555.747357806021;2;720;0.0;7.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-55.24945118771261;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-3669.2005286145622;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-5183.449107268251;2;711;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-1.1483871543752684;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-5562.737769781312;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-5865.129693491739;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-1.1483871543752684;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-7737.592569010579;2;715;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-5756.9251722905765;2;717;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-7164.129265168018;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-4091.1888280745848;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-6297.938205758412;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-1.1483871543752684;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-7218.230329201354;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-3809.289260225031;2;720;0.0;7.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-58.40448513874044;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-3913.2856343940375;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-5528.7514418443025;2;711;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-0.6966835031833584;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-5933.058691638599;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-6255.874097454311;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-0.6966835031833584;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-8252.907479308155;2;715;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-6140.457042515866;2;717;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-7641.209620051113;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-4363.406487151397;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-6717.536510538763;2;720;0.0;8.0;1;-1;-1;-1;-1;-1;-1;-1
